fecha_diagnostico,Confirmado,tasa
2020-07-18,4629.0,0.37530403761958814
2020-07-19,3073.0,0.36272426817752595
2020-07-20,4825.0,0.39262755309626496
2020-07-21,5741.0,0.4055237691601328
2020-07-22,5926.0,0.39051070840197694
2020-07-23,5980.0,0.40212494116064823
2020-07-24,6384.0,0.411207729468599
2020-07-25,4920.0,0.375257417435741
2020-07-26,3625.0,0.3748319718746769
2020-07-27,5383.0,0.40075938058368077
2020-07-28,6133.0,0.38109737152799356
2020-07-29,6487.0,0.383823442399858
2020-07-30,6226.0,0.3781354388095961
2020-07-31,7156.0,0.3987962550156041
2020-08-01,5300.0,0.39123053074481434
2020-08-02,4586.0,0.39361428203587673
2020-08-03,6421.0,0.41535675011320267
2020-08-04,7485.0,0.4052517596101787
2020-08-05,8187.0,0.42027720739219715
